sample.id,population,region,batch
TREM1,TREM,Swiss,Roulin
TREM2,TREM,Swiss,Roulin
TREM3,TREM,Swiss,Roulin
TREM4,TREM,Swiss,Roulin
TREM5,TREM,Swiss,Roulin
TREM6,TREM,Swiss,Roulin
TREM7,TREM,Swiss,Roulin
TREM8,TREM,Swiss,Roulin
TREM9,TREM,Swiss,Roulin
TREM10,TREM,Swiss,Roulin
TREM11,TREM,Swiss,Roulin
CH1,CH,Swiss,Roulin
CH2,CH,Swiss,Roulin
CH3,CH,Swiss,Roulin
CH4,CH,Swiss,Roulin
CH5,CH,Swiss,Roulin
CH6,CH,Swiss,Roulin
CH7,CH,Swiss,Roulin
CH8,CH,Swiss,Roulin
CH9,CH,Swiss,Roulin
CH10,CH,Swiss,Roulin
PR_16,PR,American,Brunharo
PR_18,PR,American,Brunharo
PR_22,PR,American,Brunharo
PR_35,PR,American,Brunharo
PR_43,PR,American,Brunharo
PR_47,PR,American,Brunharo
PR_48,PR,American,Brunharo
PR_57,PR,American,Brunharo
PR_58,PR,American,Brunharo
PR_60,PR,American,Brunharo
PR_62,PR,American,Brunharo
PR_64,PR,American,Brunharo
PR_70,PR,American,Brunharo
PR_73,PR,American,Brunharo
PR_84,PR,American,Brunharo
PR_8,PR,American,Brunharo
GULF_6,GULF,American,Brunharo
GULF_66,GULF,American,Brunharo
GULF_76,GULF,American,Brunharo
GULF_8,GULF,American,Brunharo
GULF_87,GULF,American,Brunharo
GULF_89,GULF,American,Brunharo
GULF_90,GULF,American,Brunharo
GULF_16,GULF,American,Brunharo
GULF_94,GULF,American,Brunharo
GULF_100,GULF,American,Brunharo
GULF_14,GULF,American,Brunharo
GULF_58,GULF,American,Brunharo
GULF_3,GULF,American,Brunharo
GULF_34,GULF,American,Brunharo
GULF_21,GULF,American,Brunharo
GULF_2,GULF,American,Brunharo
GULF_43,GULF,American,Brunharo
GULF_45,GULF,American,Brunharo
GULF_5,GULF,American,Brunharo
L31_106,L31,American,Brunharo
L31_11,L31,American,Brunharo
L31_17,L31,American,Brunharo
L31_23,L31,American,Brunharo
L31_3,L31,American,Brunharo
L31_38,L31,American,Brunharo
L31_39,L31,American,Brunharo
L31_52,L31,American,Brunharo
L31_58,L31,American,Brunharo
L31_59,L31,American,Brunharo
L31_74,L31,American,Brunharo
L31_75,L31,American,Brunharo
L31_76,L31,American,Brunharo
L31_79,L31,American,Brunharo
L31_80,L31,American,Brunharo
L31_90,L31,American,Brunharo
L31_93,L31,American,Brunharo
L46_100,L46,American,Brunharo
L46_33,L46,American,Brunharo
L46_36,L46,American,Brunharo
L46_39,L46,American,Brunharo
L46_47,L46,American,Brunharo
L46_5,L46,American,Brunharo
L46_53,L46,American,Brunharo
L46_54,L46,American,Brunharo
L46_55,L46,American,Brunharo
L46_59,L46,American,Brunharo
L46_68,L46,American,Brunharo
L46_73,L46,American,Brunharo
L46_96,L46,American,Brunharo
L46_11,L46,American,Brunharo
L46_13,L46,American,Brunharo
L46_16,L46,American,Brunharo
L60_101,L60,American,Brunharo
L60_15,L60,American,Brunharo
L60_38,L60,American,Brunharo
L60_47,L60,American,Brunharo
L60_58,L60,American,Brunharo
L60_6,L60,American,Brunharo
L60_63,L60,American,Brunharo
L60_64,L60,American,Brunharo
L60_70,L60,American,Brunharo
L60_73,L60,American,Brunharo
L60_76,L60,American,Brunharo
L60_91,L60,American,Brunharo
L60_96,L60,American,Brunharo
L60_102,L60,American,Brunharo
L60_106,L60,American,Brunharo
L60_107,L60,American,Brunharo
SLB_108,SLB,American,Brunharo
SLB_12,SLB,American,Brunharo
SLB_14,SLB,American,Brunharo
SLB_60,SLB,American,Brunharo
SLB_79,SLB,American,Brunharo
SLB_86,SLB,American,Brunharo
SLB_92,SLB,American,Brunharo
SLB_46,SLB,American,Brunharo
SLB_49,SLB,American,Brunharo
SLB_55,SLB,American,Brunharo
