SRR27160532,Brunharo_GULF_100
SRR27160531,Brunharo_GULF_14
SRR27160530,Brunharo_GULF_58
SRR27160529,Brunharo_GULF_6
SRR27160528,Brunharo_GULF_66
SRR27160527,Brunharo_GULF_76
SRR27160526,Brunharo_GULF_8
SRR27160525,Brunharo_GULF_87
SRR27160524,Brunharo_GULF_89
SRR27160523,Brunharo_GULF_90
SRR27160520,Brunharo_GULF_16
SRR27160522,Brunharo_GULF_94
SRR27160521,Brunharo_L31_106
SRR27160519,Brunharo_L31_11
SRR27160518,Brunharo_L31_17
SRR27160517,Brunharo_L31_23
SRR27160516,Brunharo_L31_3
SRR27160515,Brunharo_L31_38
SRR27160514,Brunharo_L31_39
SRR27160513,Brunharo_L31_52
SRR27160509,Brunharo_GULF_2
SRR27160512,Brunharo_L31_58
SRR27160511,Brunharo_L31_59
SRR27160510,Brunharo_L31_74
SRR27160508,Brunharo_L31_75
SRR27160507,Brunharo_L31_76
SRR27160506,Brunharo_L31_79
SRR27160505,Brunharo_L31_80
SRR27160504,Brunharo_L31_90
SRR27160503,Brunharo_L31_93
SRR27160498,Brunharo_GULF_21
SRR27160502,Brunharo_L46_100
SRR27160501,Brunharo_L46_11
SRR27160500,Brunharo_L46_13
SRR27160499,Brunharo_L46_16
SRR27160497,Brunharo_L46_33
SRR27160496,Brunharo_L46_36
SRR27160495,Brunharo_L46_39
SRR27160494,Brunharo_L46_47
SRR27160493,Brunharo_L46_5
SRR27160492,Brunharo_L46_53
SRR27160491,Brunharo_L46_54
SRR27160490,Brunharo_L46_55
SRR27160489,Brunharo_L46_59
SRR27160488,Brunharo_L46_68
SRR27160487,Brunharo_GULF_3
SRR27160486,Brunharo_L46_73
SRR27160485,Brunharo_L46_96
SRR27160484,Brunharo_L60_101
SRR27160483,Brunharo_L60_102
SRR27160482,Brunharo_L60_106
SRR27160481,Brunharo_L60_107
SRR27160480,Brunharo_L60_15
SRR27160479,Brunharo_L60_38
SRR27160478,Brunharo_L60_47
SRR27160476,Brunharo_GULF_34
SRR27160477,Brunharo_L60_58
SRR27160475,Brunharo_L60_6
SRR27160474,Brunharo_L60_63
SRR27160473,Brunharo_L60_64
SRR27160472,Brunharo_L60_70
SRR27160471,Brunharo_L60_73
SRR27160470,Brunharo_L60_76
SRR27160469,Brunharo_L60_91
SRR27160468,Brunharo_L60_96
SRR27160465,Brunharo_GULF_43
SRR27160467,Brunharo_PR_16
SRR27160466,Brunharo_PR_18
SRR27160464,Brunharo_PR_22
SRR27160463,Brunharo_PR_35
SRR27160462,Brunharo_PR_43
SRR27160461,Brunharo_PR_47
SRR27160460,Brunharo_PR_48
SRR27160459,Brunharo_PR_57
SRR27160458,Brunharo_PR_58
SRR27160454,Brunharo_GULF_45
SRR27160457,Brunharo_PR_60
SRR27160456,Brunharo_PR_62
SRR27160455,Brunharo_PR_64
SRR27160453,Brunharo_PR_70
SRR27160452,Brunharo_PR_73
SRR27160451,Brunharo_PR_8
SRR27160450,Brunharo_PR_84
SRR27160449,Brunharo_SLB_108
SRR27160448,Brunharo_SLB_12
SRR27160443,Brunharo_GULF_5
SRR27160447,Brunharo_SLB_14
SRR27160446,Brunharo_SLB_46
SRR27160445,Brunharo_SLB_49
SRR27160444,Brunharo_SLB_55
SRR27160442,Brunharo_SLB_60
SRR27160441,Brunharo_SLB_79
SRR27160440,Brunharo_SLB_86
SRR27160439,Brunharo_SLB_92
